chr12	0	132000000	1.2e-08	-0.03	1.0000000000000001e-11	0.01	1.201e-08	1	0.01	RZVCFB60MGHSHX0	UWIHTH76U466661H5T
chr12	0	132000000	1.2e-08	-0.03	1.0000000000000001e-11	0.01	1.201e-08	1	0.001	HWBZ9ZWYOLXUEUK	4FL6KFJXU6APHC2GA6
chr12	0	132000000	1.2e-08	-0.03	1e-12	0.01	1.2001e-08	1	0.01	DUEHZJ9Y78ZVVGA	QHYU2J74DGPZWTJKGK
chr12	0	132000000	1.2e-08	-0.03	1e-12	0.01	1.2001e-08	1	0.001	1R11CZ64LEV26Q4	9WZ486SOY2Q604EOMM
chr12	0	132000000	1.2e-08	-0.03	1.0000000000000001e-11	0.01	1.201e-08	1	0.01	RZVCFB60MGHSHX0	UWIHTH76U466661H5T
chr12	0	132000000	1.2e-08	-0.03	1.0000000000000001e-11	0.01	1.201e-08	1	0.001	HWBZ9ZWYOLXUEUK	4FL6KFJXU6APHC2GA6
chr12	0	132000000	1.2e-08	-0.03	1e-12	0.01	1.2001e-08	1	0.01	DUEHZJ9Y78ZVVGA	QHYU2J74DGPZWTJKGK
chr12	0	132000000	1.2e-08	-0.03	1e-12	0.01	1.2001e-08	1	0.001	1R11CZ64LEV26Q4	9WZ486SOY2Q604EOMM
chr12	0	132000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	9OVRUKTJ2B50OP7	AA9GUSRHWOA341WGC4	
chr12	0	10000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	3V5DYGLY7YB08HU	SZ6LV6UMM14UCO0XAD	
chr12	10000000	20000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	F2F2DMXY6FCY0LJ	SZ6LV6UMM14UCO0XAD	
chr12	20000000	30000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	E2TFK0VXQDHESQ6	SZ6LV6UMM14UCO0XAD	
chr12	30000000	40000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	A60JMJMCNHKELIT	SZ6LV6UMM14UCO0XAD	
chr12	40000000	50000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	U99XORAEC0O2KEH	SZ6LV6UMM14UCO0XAD	
chr12	50000000	60000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	6NF79NR3P8CWICN	SZ6LV6UMM14UCO0XAD	
chr12	60000000	70000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	M5UCZB8MBNY6FJX	SZ6LV6UMM14UCO0XAD	
chr12	70000000	80000000	1.2e-08	-0.03	0.0	0.0	1.2e-08	1	R060JJWNJGOM18A	SZ6LV6UMM14UCO0XAD	
